Sound Type,Window,hue,group_left,group_right,p_raw,test,p_corrected,sig_uncorrected,sig_bonferroni,trending,trend_label
PT,onset,,Dorsal auditory area,Posterior auditory area,0.5714285714285714,mannwhitneyu,1.0,,,False,
PT,onset,,Dorsal auditory area,Ventral auditory area,0.6598850066342327,mannwhitneyu,1.0,,,False,
PT,onset,,Primary auditory area,Dorsal auditory area,0.60010175010175,mannwhitneyu,1.0,,,False,
PT,onset,,Primary auditory area,Posterior auditory area,1.0,mannwhitneyu,1.0,,,False,
PT,onset,,Primary auditory area,Ventral auditory area,0.3838435052061603,mannwhitneyu,1.0,,,False,
PT,onset,,Ventral auditory area,Posterior auditory area,1.0,mannwhitneyu,1.0,,,False,
PT,sustained,,Dorsal auditory area,Posterior auditory area,1.0,mannwhitneyu,1.0,,,False,
PT,sustained,,Dorsal auditory area,Ventral auditory area,0.31274264091601556,mannwhitneyu,1.0,,,False,
PT,sustained,,Primary auditory area,Dorsal auditory area,0.21520146520146521,mannwhitneyu,1.0,,,False,
PT,sustained,,Primary auditory area,Posterior auditory area,0.31230769230769234,mannwhitneyu,1.0,,,False,
PT,sustained,,Primary auditory area,Ventral auditory area,0.7862032859201677,mannwhitneyu,1.0,,,False,
PT,sustained,,Ventral auditory area,Posterior auditory area,0.4871001031991744,mannwhitneyu,1.0,,,False,
PT,offset,,Dorsal auditory area,Ventral auditory area,0.09101184333382477,mannwhitneyu,0.5460710600029486,,,True,trending (p_raw<0.10)
PT,offset,,Dorsal auditory area,Posterior auditory area,0.5714285714285714,mannwhitneyu,1.0,,,False,
PT,offset,,Primary auditory area,Dorsal auditory area,0.21520146520146521,mannwhitneyu,1.0,,,False,
PT,offset,,Primary auditory area,Posterior auditory area,0.5938461538461539,mannwhitneyu,1.0,,,False,
PT,offset,,Primary auditory area,Ventral auditory area,0.33882352060948284,mannwhitneyu,1.0,,,False,
PT,offset,,Ventral auditory area,Posterior auditory area,0.2105263157894737,mannwhitneyu,1.0,,,False,
